"1970-W02",18705
"1970-W06",20232
"1970-W10",20467
"1970-W14",22123
"1970-W18",25036
"1970-W22",26839
"1970-W26",29640
"1970-W30",30935
"1970-W34",28278
"1970-W38",24235
"1970-W42",22370
"1970-W46",21224
"1970-W50",21061
"1971-W01",19598
"1971-W05",21463
"1971-W09",23287
"1971-W13",24065
"1971-W17",27447
"1971-W21",30413
"1971-W25",32307
"1971-W29",32974
"1971-W33",29973
"1971-W37",23986
"1971-W41",26953
"1971-W45",24250
"1971-W49",23518
"1972-W01",20816
"1972-W05",23743
"1972-W09",25152
"1972-W13",28804
"1972-W17",31158
"1972-W21",31540
"1972-W25",32849
"1972-W29",33748
"1972-W33",31910
"1972-W37",27609
"1972-W41",25170
"1972-W45",24040
"1972-W49",25368
"1973-W01",21260
"1973-W05",24109
"1973-W09",26320
"1973-W13",27701
"1973-W17",34502
"1973-W21",33297
"1973-W25",31252
"1973-W29",35173
"1973-W33",36207
"1973-W37",31511
"1973-W41",28560
"1973-W45",26828
"1973-W49",26660

